Started training, total epoch : 16
Training data size: 9813
Started epoch 1
Trained 10 batches 	Training Loss: 0.168382
Trained 20 batches 	Training Loss: 0.229679
Trained 30 batches 	Training Loss: 0.168852
Trained 40 batches 	Training Loss: 0.152102
Trained 50 batches 	Training Loss: 0.133879
Trained 60 batches 	Training Loss: 0.188478
Trained 70 batches 	Training Loss: 0.163930
Trained 80 batches 	Training Loss: 0.149393
Trained 90 batches 	Training Loss: 0.228805
Trained 100 batches 	Training Loss: 0.229289
Trained 110 batches 	Training Loss: 0.360598
Trained 120 batches 	Training Loss: 0.219350
Trained 130 batches 	Training Loss: 0.217601
Trained 140 batches 	Training Loss: 0.222510
Trained 150 batches 	Training Loss: 0.298629
Trained 160 batches 	Training Loss: 0.190532
Trained 170 batches 	Training Loss: 0.035774
Trained 180 batches 	Training Loss: 0.081835
Trained 190 batches 	Training Loss: 0.272402
Trained 200 batches 	Training Loss: 0.155774
Trained 210 batches 	Training Loss: 0.098489
Trained 220 batches 	Training Loss: 0.101155
Trained 230 batches 	Training Loss: 0.154968
Trained 240 batches 	Training Loss: 0.237506
Trained 250 batches 	Training Loss: 0.202466
Trained 260 batches 	Training Loss: 0.160909
Trained 270 batches 	Training Loss: 0.210492
Trained 280 batches 	Training Loss: 0.125604
Trained 290 batches 	Training Loss: 0.129547
Trained 300 batches 	Training Loss: 0.109738
Trained 310 batches 	Training Loss: 0.179421
Trained 320 batches 	Training Loss: 0.365304
Trained 330 batches 	Training Loss: 0.203565
Trained 340 batches 	Training Loss: 0.174932
Trained 350 batches 	Training Loss: 0.142863
Trained 360 batches 	Training Loss: 0.157379
Trained 370 batches 	Training Loss: 0.153614
Trained 380 batches 	Training Loss: 0.169401
Trained 390 batches 	Training Loss: 0.093993
Trained 400 batches 	Training Loss: 0.252093
Trained 410 batches 	Training Loss: 0.185763
Trained 420 batches 	Training Loss: 0.293076
Trained 430 batches 	Training Loss: 0.074182
Trained 440 batches 	Training Loss: 0.077219
Trained 450 batches 	Training Loss: 0.194721
Trained 460 batches 	Training Loss: 0.220054
Trained 470 batches 	Training Loss: 0.312325
Trained 480 batches 	Training Loss: 0.228628
Trained 490 batches 	Training Loss: 0.155070
Trained 500 batches 	Training Loss: 0.185981
Trained 510 batches 	Training Loss: 0.084845
Trained 520 batches 	Training Loss: 0.110965
Trained 530 batches 	Training Loss: 0.129196
Trained 540 batches 	Training Loss: 0.156247
Trained 550 batches 	Training Loss: 0.150032
Trained 560 batches 	Training Loss: 0.190962
Trained 570 batches 	Training Loss: 0.188628
Trained 580 batches 	Training Loss: 0.198664
Trained 590 batches 	Training Loss: 0.235864
Trained 600 batches 	Training Loss: 0.192535
